;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
500;10748;SAVEA;3;1;232,55;Estados Unidos;48,84;281,39
508;10756;SPLIR;8;2;73,21;Estados Unidos;15,37;88,58
509;10757;SAVEA;6;1;8,19;Estados Unidos;1,72;9,91
513;10761;RATTC;5;2;18,66;Estados Unidos;3,92;22,58
527;10775;THECR;7;1;20,25;Estados Unidos;4,25;24,5
557;10805;THEBI;2;3;237,34;Estados Unidos;49,84;287,18
560;10808;OLDWO;2;3;45,53;Estados Unidos;9,56;55,09
567;10815;SAVEA;2;3;14,62;Estados Unidos;3,07;17,69
568;10816;GREAL;4;2;719,78;Estados Unidos;151,15;870,93
572;10820;RATTC;3;2;37,52;Estados Unidos;7,88;45,4
573;10821;SPLIR;1;1;36,68;Estados Unidos;7,7;44,38
574;10822;TRAIH;6;3;7,0;Estados Unidos;1,47;8,47
599;10847;SAVEA;4;3;487,57;Estados Unidos;102,39;589,96
604;10852;RATTC;8;1;174,05;Estados Unidos;36,55;210,6
607;10855;OLDWO;3;1;170,97;Estados Unidos;35,9;206,87
613;10861;WHITC;4;2;14,93;Estados Unidos;3,14;18,07
619;10867;LONEP;6;1;1,93;Estados Unidos;0,41;2,34
622;10870;WHITC;5;3;12,04;Estados Unidos;2,53;14,57
634;10882;SAVEA;4;3;23,1;Estados Unidos;4,85;27,95
635;10883;LONEP;8;3;0,53;Estados Unidos;0,11;0,64
636;10884;LETSS;4;2;90,97;Estados Unidos;19,1;110,07
641;10889;RATTC;9;3;280,61;Estados Unidos;58,93;339,54
646;10894;SAVEA;1;1;116,13;Estados Unidos;24,39;140,52
656;10904;WHITC;3;3;162,95;Estados Unidos;34,22;197,17
688;10936;GREAL;3;2;33,68;Estados Unidos;7,07;40,75
693;10941;SAVEA;7;2;400,81;Estados Unidos;84,17;484,98
717;10965;OLDWO;6;3;144,38;Estados Unidos;30,32;174,7
726;10974;SPLIR;3;3;12,96;Estados Unidos;2,72;15,68
735;10983;SAVEA;2;2;657,54;Estados Unidos;138,08;795,62
736;10984;SAVEA;1;3;211,22;Estados Unidos;44,36;255,58
740;10988;RATTC;3;2;61,14;Estados Unidos;12,84;73,98
744;10992;THEBI;1;3;4,27;Estados Unidos;0,9;5,17
752;11000;RATTC;2;3;55,12;Estados Unidos;11,58;66,7
754;11002;SAVEA;4;1;141,16;Estados Unidos;29,64;170,8
755;11003;THECR;3;3;14,91;Estados Unidos;3,13;18,04
758;11006;GREAL;3;2;25,19;Estados Unidos;5,29;30,48
770;11018;LONEP;4;2;11,65;Estados Unidos;2,45;14,1
782;11030;SAVEA;7;2;830,75;Estados Unidos;174,46;1005,21
783;11031;SAVEA;6;2;227,22;Estados Unidos;47,72;274,94
784;11032;WHITC;2;3;606,19;Estados Unidos;127,3;733,49
786;11034;OLDWO;8;1;40,32;Estados Unidos;8,47;48,79
792;11040;GREAL;4;3;18,84;Estados Unidos;3,96;22,8
813;11061;GREAL;4;3;14,01;Estados Unidos;2,94;16,95
816;11064;SAVEA;1;1;30,09;Estados Unidos;6,32;36,41
818;11066;WHITC;7;2;44,72;Estados Unidos;9,39;54,11
829;11077;RATTC;1;2;8,53;Estados Unidos;1,79;10,32
