;idpedido;cliente;idempleado;idempresa;importe;pais;iva;total
279;10527;QUICK;7;1;41,9;Alemania;8,8;50,7
286;10534;LEHMS;8;2;27,94;Alemania;5,87;33,81
288;10536;LEHMS;3;2;58,88;Alemania;12,36;71,24
292;10540;QUICK;3;3;1007,64;Alemania;211,6;1219,24
294;10542;KOENE;1;3;10,95;Alemania;2,3;13,25
300;10548;TOMSP;3;2;1,43;Alemania;0,3;1,73
301;10549;QUICK;5;1;171,24;Alemania;35,96;207,2
306;10554;OTTIK;4;3;120,97;Alemania;25,4;146,37
309;10557;LEHMS;9;2;96,72;Alemania;20,31;117,03
312;10560;FRANK;8;1;36,65;Alemania;7,7;44,35
327;10575;MORGK;5;1;127,34;Alemania;26,74;154,08
332;10580;OTTIK;4;3;75,89;Alemania;15,94;91,83
334;10582;BLAUS;3;2;27,71;Alemania;5,82;33,53
340;10588;QUICK;2;3;194,67;Alemania;40,88;235,55
344;10592;LEHMS;3;1;32,1;Alemania;6,74;38,84
345;10593;LEHMS;7;2;174,2;Alemania;36,58;210,78
360;10608;TOMSP;4;2;27,79;Alemania;5,84;33,63
366;10614;BLAUS;8;3;1,93;Alemania;0,41;2,34
375;10623;FRANK;8;2;97,18;Alemania;20,41;117,59
382;10630;KOENE;1;2;32,35;Alemania;6,79;39,14
384;10632;WANDK;8;1;41,38;Alemania;8,69;50,07
392;10640;WANDK;4;1;23,55;Alemania;4,95;28,5
395;10643;ALFKI;6;2;29,46;Alemania;6,19;35,65
403;10651;WANDK;8;2;20,6;Alemania;4,33;24,93
405;10653;FRANK;1;1;93,25;Alemania;19,58;112,83
410;10658;QUICK;4;1;364,15;Alemania;76,47;440,62
420;10668;WANDK;1;2;47,22;Alemania;9,92;57,14
422;10670;FRANK;4;1;203,48;Alemania;42,73;246,21
427;10675;FRANK;5;2;31,85;Alemania;6,69;38,54
436;10684;OTTIK;3;1;145,63;Alemania;30,58;176,21
443;10691;QUICK;2;2;810,05;Alemania;170,11;980,16
444;10692;ALFKI;4;2;61,02;Alemania;12,81;73,83
446;10694;QUICK;8;3;398,36;Alemania;83,66;482,02
451;10699;MORGK;3;3;0,58;Alemania;0,12;0,7
454;10702;ALFKI;4;1;23,94;Alemania;5,03;28,97
469;10717;FRANK;1;2;59,25;Alemania;12,44;71,69
470;10718;KOENE;1;3;170,88;Alemania;35,88;206,76
473;10721;QUICK;5;3;48,92;Alemania;10,27;59,19
497;10745;QUICK;9;1;3,52;Alemania;0,74;4,26
517;10765;QUICK;3;3;42,74;Alemania;8,98;51,72
518;10766;OTTIK;4;1;157,55;Alemania;33,09;190,64
524;10772;LEHMS;3;2;91,28;Alemania;19,17;110,45
531;10779;MORGK;3;2;58,13;Alemania;12,21;70,34
540;10788;QUICK;1;2;42,7;Alemania;8,97;51,67
543;10791;FRANK;6;2;16,85;Alemania;3,54;20,39
549;10797;DRACD;7;2;33,35;Alemania;7,0;40,35
551;10799;KOENE;9;3;30,76;Alemania;6,46;37,22
569;10817;KOENE;3;2;306,07;Alemania;64,27;370,34
577;10825;DRACD;1;1;79,25;Alemania;16,64;95,89
585;10833;OTTIK;6;2;71,49;Alemania;15,01;86,5
587;10835;ALFKI;1;3;69,53;Alemania;14,6;84,13
597;10845;QUICK;8;1;212,98;Alemania;44,73;257,71
601;10849;KOENE;9;2;0,56;Alemania;0,12;0,68
605;10853;BLAUS;9;2;53,83;Alemania;11,3;65,13
611;10859;FRANK;1;2;76,1;Alemania;15,98;92,08
614;10862;LEHMS;8;2;53,23;Alemania;11,18;64,41
617;10865;QUICK;2;1;348,14;Alemania;73,11;421,25
630;10878;QUICK;4;1;46,69;Alemania;9,8;56,49
643;10891;LEHMS;7;2;20,37;Alemania;4,28;24,65
645;10893;KOENE;9;2;77,78;Alemania;16,33;94,11
681;10929;FRANK;6;1;33,93;Alemania;7,13;41,06
686;10934;LEHMS;3;3;32,01;Alemania;6,72;38,73
690;10938;QUICK;3;2;31,89;Alemania;6,7;38,59
697;10945;MORGK;4;1;10,22;Alemania;2,15;12,37
704;10952;ALFKI;1;1;40,42;Alemania;8,49;48,91
708;10956;BLAUS;6;2;44,65;Alemania;9,38;54,03
714;10962;QUICK;8;2;275,79;Alemania;57,92;333,71
719;10967;TOMSP;2;2;62,22;Alemania;13,07;75,29
743;10991;QUICK;1;1;38,51;Alemania;8,09;46,6
748;10996;QUICK;4;2;1,12;Alemania;0,24;1,36
751;10999;OTTIK;6;2;96,35;Alemania;20,23;116,58
763;11011;ALFKI;3;1;1,21;Alemania;0,25;1,46
764;11012;FRANK;1;3;242,95;Alemania;51,02;293,97
772;11020;OTTIK;2;2;43,3;Alemania;9,09;52,39
773;11021;QUICK;3;1;297,18;Alemania;62,41;359,59
780;11028;KOENE;2;1;29,59;Alemania;6,21;35,8
788;11036;DRACD;8;3;149,47;Alemania;31,39;180,86
798;11046;WANDK;8;2;71,64;Alemania;15,04;86,68
810;11058;BLAUS;9;3;31,14;Alemania;6,54;37,68
819;11067;DRACD;1;2;7,98;Alemania;1,68;9,66
822;11070;LEHMS;2;1;136,0;Alemania;28,56;164,56
